iter	MultiClass
0	1.724300649
1	1.557499603
2	1.414785738
3	1.312364836
4	1.219550545
5	1.144754658
6	1.070834032
7	1.017243658
8	0.9714880183
9	0.9324370689
10	0.8981552674
11	0.8569882189
12	0.8267894375
13	0.7927340026
14	0.7612048135
15	0.7369246291
16	0.7057405437
17	0.6840587578
18	0.6691977497
19	0.6455790857
20	0.6255590881
21	0.6056048627
22	0.593156419
23	0.5838347139
24	0.5684744261
25	0.5508637829
26	0.5383341885
27	0.5256012643
28	0.5147107273
29	0.5011196866
30	0.492199696
31	0.4841780151
32	0.4700695004
33	0.4622000477
34	0.453617727
35	0.4446912742
36	0.4356553593
37	0.4304023782
38	0.4221147614
39	0.4137197184
40	0.4066016131
41	0.3961922309
42	0.3893932604
43	0.3853866763
44	0.3792310671
45	0.3711134762
46	0.3618855674
47	0.3565923475
48	0.3528057595
49	0.3473434625
50	0.3419702951
51	0.3391510273
52	0.3357505342
53	0.3317587794
54	0.3294266065
55	0.325233849
56	0.3203076678
57	0.3171045373
58	0.3141632773
59	0.3089704468
60	0.3054165792
61	0.3017450382
62	0.2995230647
63	0.2967534103
64	0.2941309165
65	0.2922437646
66	0.2890255958
67	0.2829891379
68	0.2815796014
69	0.2781903315
70	0.2709698982
71	0.2685700311
72	0.2650591752
73	0.2613941084
74	0.2578736827
75	0.25172573
76	0.2473423545
77	0.2454265116
78	0.2427086533
79	0.2385129916
80	0.236332495
81	0.2336835683
82	0.2304653262
83	0.2275256692
84	0.2258074051
85	0.2242135576
86	0.2223171265
87	0.2174608952
88	0.2147510937
89	0.2122340051
90	0.2105996193
91	0.2082349687
92	0.2060116516
93	0.2047016152
94	0.2029588091
95	0.1998770974
96	0.1960854291
97	0.1945432781
98	0.1925736216
99	0.1899971342
