iter	Passed	Remaining
0	156	15470
1	159	7809
2	161	5235
3	164	3948
4	168	3192
5	170	2677
6	173	2308
7	176	2031
8	179	1819
9	182	1645
10	185	1504
11	189	1386
12	191	1283
13	195	1198
14	198	1124
15	201	1058
16	204	998
17	208	951
18	211	902
19	214	858
20	217	819
21	221	784
22	224	751
23	227	720
24	230	692
25	234	666
26	237	641
27	240	617
28	243	595
29	246	575
30	249	554
31	252	535
32	254	517
33	257	500
34	261	484
35	263	469
36	266	454
37	272	444
38	276	432
39	280	420
40	283	407
41	286	395
42	290	384
43	292	372
44	295	361
45	298	350
46	302	340
47	305	330
48	308	320
49	311	311
50	313	301
51	316	292
52	320	283
53	322	274
54	325	266
55	328	258
56	331	250
57	334	242
58	338	234
59	342	228
60	345	220
61	348	213
62	351	206
63	354	199
64	357	192
65	360	185
66	363	179
67	367	172
68	370	166
69	373	159
70	376	153
71	379	147
72	383	141
73	386	135
74	390	130
75	393	124
76	397	118
77	400	113
78	404	107
79	408	102
80	411	96
81	414	90
82	417	85
83	420	80
84	424	74
85	427	69
86	431	64
87	434	59
88	438	54
89	441	49
90	444	44
91	447	38
92	450	33
93	453	28
94	457	24
95	460	19
96	464	14
97	467	9
98	471	4
99	474	0
