Gender,Age,Height,Weight,family_history_with_overweight,FAVC,FCVC,NCP,CAEC,SMOKE,CH2O,SCC,FAF,TUE,CALC,MTRANS,NObeyesdad
0,0.16313580123451443,0.29332322997763427,0.20299403280586564,1,0,0.5,0.6666666666666667,2,0,0.5,0,0.0,0.5,3,3,1
0,0.16313580123451443,0.048887204996272526,0.12917802087645996,1,0,1.0,0.6666666666666667,2,1,1.0,1,1.0,0.0,2,3,1
1,0.23748846371971133,0.7333080749440852,0.32294505219114994,1,0,0.5,0.6666666666666667,2,0,0.5,0,0.6666666666666666,0.5,1,3,1
1,0.386193788690105,0.7333080749440852,0.41521506710290695,0,0,1.0,0.6666666666666667,2,0,0.5,0,0.6666666666666666,0.0,1,4,5
1,0.20031213247711288,0.6844208699478131,0.441050671278199,0,0,0.5,0.0,2,0,0.5,0,0.0,0.0,2,3,6
1,0.4605464511753019,0.29332322997763427,0.1014970164029328,0,1,0.5,0.6666666666666667,2,0,0.5,0,0.0,0.0,2,0,1
0,0.23748846371971133,0.0,0.11995101938528424,1,1,1.0,0.6666666666666667,2,0,0.5,0,0.3333333333333333,0.0,2,2,1
1,0.20031213247711288,0.3422104349739059,0.1014970164029328,0,0,0.5,0.6666666666666667,2,0,0.5,0,1.0,0.0,2,3,1
1,0.2746647949623098,0.6844208699478131,0.20299403280586564,1,1,1.0,0.6666666666666667,2,0,0.5,0,0.3333333333333333,0.5,1,3,1
1,0.20031213247711288,0.537759254958996,0.23990203877056854,1,1,0.5,0.6666666666666667,2,0,0.5,0,0.3333333333333333,0.5,3,3,1
1,0.34901745744750656,0.8555260874347659,0.5813010939440699,1,1,1.0,0.6666666666666667,1,0,1.0,0,0.6666666666666666,1.0,2,3,2
0,0.16313580123451443,0.537759254958996,0.350626056664677,1,1,0.5,0.6666666666666667,1,0,0.5,1,0.6666666666666666,0.5,2,3,6
1,0.20031213247711288,0.3666540374720424,0.12917802087645996,0,0,1.0,0.6666666666666667,2,0,1.0,0,0.6666666666666666,0.0,2,3,1
1,0.9066624260864831,0.7333080749440852,0.5259390849970156,0,1,0.5,0.6666666666666667,2,0,0.5,0,0.6666666666666666,0.5,1,0,2
1,0.23748846371971133,0.6599772674496767,0.16608602684116275,1,1,1.0,0.0,2,0,0.0,0,0.3333333333333333,0.5,2,3,1
0,0.20031213247711288,0.48887204996272304,0.2214480357882171,1,0,1.0,0.6666666666666667,0,0,0.5,1,0.6666666666666666,0.5,2,3,1
0,0.4605464511753019,0.07333080749440857,0.33217205368232555,0,1,0.5,0.0,2,0,0.5,0,0.0,0.0,3,0,2
0,0.49772278241790024,0.5133156524608595,0.36908005964702845,1,1,1.0,1.0,1,1,0.0,0,0.0,0.0,3,0,6
0,0.23748846371971133,0.3666540374720424,0.2583560417529199,1,0,0.5,0.0,2,0,0.5,0,0.0,0.0,2,3,5
1,0.20031213247711288,0.3666540374720424,0.350626056664677,1,0,0.5,0.6666666666666667,2,0,0.5,0,1.0,1.0,3,4,6
0,0.20031213247711288,0.3666540374720424,0.16608602684116275,1,1,1.0,0.6666666666666667,2,0,0.5,0,0.3333333333333333,0.0,2,0,1
0,0.20031213247711288,0.24443602498136174,0.36908005964702845,1,1,0.0,0.0,2,0,0.5,0,0.0,1.0,2,3,2
1,0.16313580123451443,0.8555260874347659,0.23990203877056854,1,1,0.5,0.6666666666666667,2,0,0.5,0,0.0,0.5,2,3,1
1,0.12595946999191598,0.24443602498136174,0.07381601192940568,1,0,0.5,1.0,1,1,0.5,0,1.0,1.0,3,3,1
1,0.16313580123451443,0.48887204996272304,0.21222103429704137,1,1,0.5,0.0,1,0,0.5,0,0.3333333333333333,1.0,0,4,1
0,0.23748846371971133,0.24443602498136174,0.09227001491175713,0,1,0.5,1.0,1,0,0.5,0,0.6666666666666666,0.5,2,0,1
1,0.08878313874931754,0.6110900624534046,0.3137180506999742,1,1,1.0,0.6666666666666667,2,0,0.5,1,1.0,0.5,2,3,1
1,0.23748846371971133,0.43998484496645096,0.2583560417529199,0,1,0.5,0.6666666666666667,2,0,0.5,0,0.6666666666666666,1.0,1,4,1
1,0.4605464511753019,0.6599772674496767,0.37830706113820417,0,1,0.0,1.0,1,0,1.0,0,0.0,0.5,3,2,5
0,0.5348991136604988,0.19554881998508966,0.23990203877056854,1,0,0.5,0.0,2,0,0.0,0,0.3333333333333333,0.0,2,3,6
0,0.2746647949623098,0.6599772674496767,0.3137180506999742,0,0,0.5,0.6666666666666667,2,0,1.0,0,0.3333333333333333,0.5,2,4,1
1,0.8323097636012862,0.7088644724459487,0.4428960715764341,0,0,0.5,0.0,2,0,0.5,0,0.0,0.0,2,3,6
1,0.20031213247711288,0.3666540374720424,0.1845400298235142,0,1,0.5,1.0,1,0,0.5,0,0.6666666666666666,0.0,2,3,1
0,0.16313580123451443,0.0,0.21222103429704137,1,0,0.5,0.6666666666666667,2,0,0.5,0,0.6666666666666666,1.0,2,3,6
0,0.20031213247711288,0.14666161498881713,0.06458901043822995,0,1,0.5,0.6666666666666667,2,0,0.0,1,0.6666666666666666,0.0,3,4,1
0,0.16313580123451443,0.24443602498136174,0.055362008947054286,0,1,0.5,0.6666666666666667,2,0,0.0,0,0.3333333333333333,0.0,2,3,1
1,0.23748846371971133,0.3666540374720424,0.23067503727939281,1,1,0.5,0.6666666666666667,2,0,0.5,0,0.3333333333333333,0.5,2,3,1
0,0.16313580123451443,0.6110900624534046,0.4244420685940827,1,1,0.5,0.6666666666666667,2,0,1.0,0,1.0,0.0,2,3,6
0,0.16313580123451443,0.4155412424683145,0.3044910492087985,1,1,0.5,0.6666666666666667,2,0,0.5,0,0.3333333333333333,0.0,2,3,5
1,0.23748846371971133,0.43998484496645096,0.16608602684116275,0,0,0.5,1.0,1,0,0.5,0,0.0,0.0,3,4,1
0,0.16313580123451443,0.3910976399701789,0.20299403280586564,1,1,0.0,0.6666666666666667,2,0,0.0,0,0.0,0.0,3,3,1
1,0.16313580123451443,0.3910976399701789,0.1845400298235142,1,1,0.5,0.6666666666666667,2,1,0.5,0,0.3333333333333333,0.5,1,3,1
1,0.16313580123451443,0.7577516774422217,0.350626056664677,0,0,0.0,0.6666666666666667,3,0,0.5,0,0.6666666666666666,0.0,3,3,1
0,0.16313580123451443,0.07333080749440857,0.21222103429704137,1,0,0.5,0.6666666666666667,2,0,0.0,0,0.0,0.5,3,3,6
1,0.16313580123451443,0.7821952799403573,0.2768100447352713,1,1,0.0,0.6666666666666667,1,0,1.0,0,0.6666666666666666,0.0,2,3,1
1,0.16313580123451443,0.6110900624534046,0.2768100447352713,1,1,0.0,0.6666666666666667,1,0,1.0,0,0.6666666666666666,0.0,2,3,1
0,0.12595946999191598,0.3910976399701789,0.16608602684116275,1,0,1.0,0.6666666666666667,2,0,0.5,0,0.3333333333333333,0.0,2,4,1
0,0.16313580123451443,0.1222180124906811,0.07381601192940568,0,1,0.5,0.6666666666666667,2,0,0.5,0,0.0,0.0,2,3,1
0,0.16313580123451443,0.26887962747949823,0.11533751863969638,1,1,1.0,0.6666666666666667,2,0,1.0,0,0.0,0.5,2,4,1
0,0.12595946999191598,0.0,0.018454002982351392,0,1,0.5,0.6666666666666667,2,0,0.0,0,0.0,0.0,2,0,1
0,0.23748846371971133,0.3422104349739059,0.09227001491175713,0,1,1.0,0.0,2,0,0.5,0,0.6666666666666666,1.0,3,3,1
0,0.23748846371971133,0.31776683247576987,0.11995101938528424,1,0,1.0,0.6666666666666667,3,0,0.5,1,0.6666666666666666,0.5,3,3,1
0,0.20031213247711288,0.24443602498136174,0.11995101938528424,0,0,1.0,1.0,0,0,1.0,0,0.6666666666666666,0.0,3,3,1
1,0.23748846371971133,0.43998484496645096,0.1845400298235142,0,0,0.5,1.0,1,0,0.5,0,0.0,0.0,2,0,1
1,0.20031213247711288,0.48887204996272304,0.2583560417529199,1,1,0.5,0.6666666666666667,2,0,0.0,0,0.0,0.5,2,0,1
1,0.16313580123451443,0.3422104349739059,0.21222103429704137,1,0,0.5,0.6666666666666667,2,0,0.0,0,0.0,0.5,3,3,1
0,0.01443047626412075,0.3666540374720424,0.23067503727939281,1,1,1.0,0.0,2,0,0.5,0,0.3333333333333333,0.5,3,4,1
1,0.12595946999191598,0.6355336649515402,0.11995101938528424,1,1,0.5,1.0,2,0,1.0,0,0.6666666666666666,1.0,3,3,0
0,0.16313580123451443,0.1222180124906811,0.06458901043822995,1,1,0.5,0.6666666666666667,2,0,1.0,0,1.0,0.5,2,3,1
1,0.12595946999191598,0.3666540374720424,0.1476320238588114,0,1,0.5,0.6666666666666667,2,0,0.5,0,1.0,0.5,2,3,1
1,0.20031213247711288,0.4155412424683145,0.1845400298235142,0,1,0.5,0.0,3,0,0.5,0,0.0,0.0,2,3,1
1,0.20031213247711288,0.43998484496645096,0.11995101938528424,1,1,0.5,0.6666666666666667,2,0,0.5,0,0.0,1.0,2,0,1
0,0.16313580123451443,0.3910976399701789,0.1384050223676357,1,1,0.5,0.6666666666666667,1,0,0.0,0,0.3333333333333333,0.5,3,3,1
0,0.16313580123451443,0.29332322997763427,0.24912904026174415,1,1,0.0,0.6666666666666667,1,0,0.5,0,0.0,0.5,3,3,5
1,0.23748846371971133,0.7333080749440852,0.4428960715764341,1,1,0.0,0.6666666666666667,0,0,0.5,0,0.0,1.0,1,3,6
1,0.23748846371971133,0.3666540374720424,0.48903107903231274,1,1,0.5,0.6666666666666667,0,0,0.5,0,0.0,0.5,1,0,2
1,0.49772278241790024,0.6355336649515402,0.6458901043822998,1,1,0.0,0.6666666666666667,3,1,0.5,1,0.0,0.0,1,0,3
1,0.23748846371971133,0.7333080749440852,0.16608602684116275,1,0,0.5,0.6666666666666667,3,0,1.0,0,0.0,0.5,2,3,1
0,0.23748846371971133,0.3666540374720424,0.350626056664677,1,1,0.5,0.6666666666666667,0,0,0.5,0,0.0,1.0,3,3,6
0,0.20031213247711288,0.4155412424683145,0.07381601192940568,1,0,1.0,0.6666666666666667,3,0,1.0,1,0.6666666666666666,0.5,2,3,0
0,0.2746647949623098,0.3666540374720424,0.16608602684116275,1,0,0.5,0.6666666666666667,2,0,1.0,1,0.3333333333333333,0.0,3,3,1
1,0.08878313874931754,0.8555260874347659,0.21222103429704137,1,0,0.5,0.6666666666666667,2,0,1.0,0,0.6666666666666666,0.5,2,1,1
1,0.2746647949623098,0.48887204996272304,0.3967610641205556,1,1,0.5,0.6666666666666667,1,0,1.0,0,0.0,0.5,1,3,6
0,0.23748846371971133,0.31776683247576987,0.027681004473527115,1,0,1.0,0.6666666666666667,2,0,1.0,1,0.6666666666666666,0.0,3,3,0
0,0.2746647949623098,0.24443602498136174,0.027681004473527115,1,0,0.5,0.6666666666666667,3,0,0.5,0,0.3333333333333333,0.0,3,3,0
0,0.2746647949623098,0.48887204996272304,0.350626056664677,1,1,0.5,0.6666666666666667,2,0,1.0,0,0.0,0.0,3,3,6
0,0.23748846371971133,0.3666540374720424,0.4428960715764341,1,1,0.5,0.6666666666666667,2,0,1.0,0,0.0,0.5,3,3,2
1,0.23748846371971133,0.3666540374720424,0.16608602684116275,1,0,0.5,0.6666666666666667,2,0,0.5,0,0.0,0.0,2,3,1
0,0.08878313874931754,0.31776683247576987,0.1476320238588114,0,0,1.0,0.6666666666666667,2,0,0.5,1,0.0,0.0,3,3,1
1,0.49772278241790024,0.7333080749440852,0.45212307306760985,1,1,0.5,0.6666666666666667,1,0,0.5,0,0.0,0.0,2,3,6
1,0.23748846371971133,0.4155412424683145,0.4013745648661435,1,1,0.5,0.6666666666666667,0,0,0.5,0,0.0,0.5,3,3,2
0,0.08878313874931754,0.24443602498136174,0.027681004473527115,0,0,1.0,0.6666666666666667,3,0,1.0,1,0.6666666666666666,0.0,3,4,0
1,0.3118411262049081,0.48887204996272304,0.37830706113820417,1,1,0.5,0.6666666666666667,1,0,0.5,0,0.0,0.5,2,3,6
1,0.23748846371971133,0.3666540374720424,0.15224552460439927,1,0,0.5,0.6666666666666667,2,0,0.5,0,0.0,0.0,3,3,1
1,0.16313580123451443,0.8555260874347659,0.37830706113820417,1,1,0.5,0.0,1,0,1.0,0,0.3333333333333333,0.0,3,3,1
1,0.08878313874931754,0.7821952799403573,0.41521506710290695,1,1,0.5,0.6666666666666667,2,0,0.5,0,0.0,0.0,3,3,5
0,0.20031213247711288,0.3666540374720424,0.21222103429704137,1,1,0.5,0.6666666666666667,1,0,0.5,1,0.3333333333333333,0.0,3,0,1
0,0.4605464511753019,0.48887204996272304,0.33217205368232555,1,1,1.0,0.6666666666666667,2,0,0.0,0,0.6666666666666666,0.5,1,0,6
0,0.3118411262049081,0.31776683247576987,0.4705770760499613,0,0,1.0,1.0,0,0,0.0,0,0.6666666666666666,0.0,3,3,3
0,0.12595946999191598,0.26887962747949823,0.20299403280586564,1,0,1.0,0.6666666666666667,0,0,0.5,1,0.0,0.5,1,3,1
0,0.12595946999191598,0.24443602498136174,0.1384050223676357,0,0,1.0,0.6666666666666667,0,0,0.5,0,0.3333333333333333,0.0,3,4,1
0,0.2746647949623098,0.24443602498136174,0.055362008947054286,0,1,1.0,0.6666666666666667,2,0,0.5,0,0.6666666666666666,0.0,3,3,1
